Boat Year,Make,Model,Engine Make,Engine HP,Trade in Value
2011,Legend,BayShore RE,Mercury,90,"$15,500.00"
2011,Legend,18 Xcalibur,Mercury,90,"$10,000.00"
2011,Legend,16 ProSport SC,Mercury,25,"$5,500.00"
2012,Legend,16 Xcalibur,Mercury,60,"$15,000.00"
2012,Legend,16 Widebody LS,Mercury,30,"$4,000.00"
2012,Legend,19 Xcalibur,Mercury,115,"$18,500.00"
2012,Legend,18 Xcalibur,Mercury,90,"$15,000.00"
2012,Seadoo,Speedster,N/A,N/A,"$12,500.00"
2012,Legend,14 Ultralite,Mercury,15,"$2,100.00"
2012,Legend,16 Xtreme,Mercury,60,"$15,000.00"
2012,Legend,16 ProSport LS,Mercury,25,"$6,500.00"
2012,Legend,16 Xcalibur,Mercury,60,"$11,500.00"
2012,Tracker,175 TWX,Mercury,60,"$8,700.00"
2012,Lund,Fury 1400,Mercury,25,"$8,698.00"
2012,Yamaha,AR190,N/A,N/A,"$24,000.00"
2012,Lowe,SF214,Mercury,60,"$12,000.00"
2012,Legend,18 Xcalibur,Mercury,90,"$13,500.00"
2012,Legend,16 XGS,Mercury,50,"$8,000.00"
2013,Legend,14 WideBody LS,Mercury,20,"$3,100.00"
2013,Legend,16 Xcalibur,Mercury,60,"$15,000.00"
2013,Legend,18 Xtreme,Mercury,115,"$19,000.00"
2013,Legend,16 Xcalibur,Mercury,60,"$17,000.00"
2013,Legend,18 Xtreme,Mercury,115,"$17,000.00"
2013,Legend,15 AllSport,Mercury,50,"$10,000.00"
2013,Legend,Genesis RE,Mercury,60,"$16,000.00"
2013,Legend,Genesis RE,Mercury,50,"$18,000.00"
2013,Lund,Impact Sport 1875,Mercury,150,"$22,500.00"
2013,Legend,18 Xtreme,Mercury,115,"$20,423.56"
2013,Legend,21 Genesis Fusion,Mercury,60,"$16,000.00"
2013,Legend,16 Xcalibur,Mercury,90,"$16,648.00"
2013,Legend,18 Xtreme,Nissan,90,"$23,000.00"
2013,Legend,18 Xtreme,Mercury,90,"$23,000.00"
2013,Alumacraft,Competitor 175,Yamaha,115,"$16,000.00"
2013,Legend,Vantage 23,Mercury,90,"$19,000.00"
2013,Legend,16 Xcalibur,Mercury,60,"$11,700.00"
2013,Legend,20 Bayshore RE,Mercury,50,"$17,484.15"
2013,Legend,16 Xtreme,Mercury,60,"$16,500.00"
2013,Legend,Platinum Lounge,Mercury,115,"$25,000.00"
2013,Legend,19 Xcalibur,Mercury,115,"$22,000.00"
2013,Legend,185 BR,Mercruiser,3.0L Alpha,"$14,000.00"
2013,Legend,16 Xcalibur,Mercury,60,"$12,855.79"
2013,Legend,BAYSHORE LOUNGER,Mercury,90,"$18,250.00"
2013,Sylvan,1900 Pro Sport,Evinrude,135,"$10,000.00"
2013,Starcraft,185,Mercruiser,4.3,"$4,500.00"
2013,Legend,18 Xtreme,Mercury,60,"$14,000.00"
2013,Boston Whaler,15.5 Super Sport,Mercury,60,"$13,582.00"
2013,Legend,15 AllSport,Mercury,40,"$12,000.00"
2013,Legend,18 Xtreme,Mercury,115,"$26,600.00"
2013,Legend,Luxura Bar,Mercury,90,"$25,000.00"
2013,Legend,18 Xcalibur,Mercury,115,"$19,000.00"
2014,Star Craft,216 Fish 'N Cruise,Mercury,115,"$26,000.00"
2014,Legend,16 Xtreme,Mercury,90,"$18,500.00"
2014,Legend,Enjoy All,Mercury,90,"$24,000.00"
2014,Legend,18 Xcalibur,Mercury,115,"$20,000.00"
2014,Seadoo,GTX 185,Mercruiser,3.0L Alpha,"$18,000.00"
2014,Legend,16 Xcalibur,Mercury,60,"$19,000.00"
2014,Legend,16 Xtreme,Mercury,50,"$12,000.00"
2014,Legend,20 Xcalibur,Mercury,115,"$20,000.00"
2014,Legend,16 ProSport LS,Mercury,25,"$7,000.00"
2014,Legend,16 XGS,Mercury,50,"$11,000.00"
2014,Legend,15 AllSport,Mercury,40,"$9,000.00"
2014,Legend,16 Xterminator,Mercury,50,"$13,000.00"
2014,Legend,16 Xcalibur,Mercury,60,"$18,000.00"
2014,Legend,16 Xtreme,Mercury,90,"$27,000.00"
2014,Legend,16 Xcalibur,Mercury,60,"$21,500.00"
